im_size,time/img,TP_r,FP_r
300,0.20612215995788574,0.6507936507936508,0.0
400,0.24480700492858887,0.7741935483870968,0.017920416721686868
600,0.3515892028808594,0.8769230769230769,0.020622829191024244
