mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,class_acc_val,curr_loss_val,elapsed_time
2.193,0.951,0.479,0.325,0.159,0.203,1.166,0.951,0.652,2721.003
3.156,0.962,0.057,0.121,0.098,0.084,0.359,0.958,0.513,2880.134
3.353,0.972,0.034,0.072,0.077,0.058,0.241,0.963,0.501,2547.309
3.416,0.974,0.025,0.063,0.068,0.047,0.203,0.956,0.459,2564.682
3.366,0.974,0.026,0.059,0.066,0.047,0.197,0.964,0.459,2561.363
3.384,0.974,0.026,0.058,0.068,0.049,0.201,0.964,0.464,2643.911
