mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,class_acc_val,curr_loss_val,elapsed_time
3.022,0.929,0.291,0.113,0.209,0.196,0.808,0.94,0.436,6429.647
4.339,0.956,0.072,0.05,0.11,0.067,0.298,0.963,0.264,5925.363
4.653,0.965,0.038,0.034,0.086,0.046,0.204,0.956,0.273,5998.492
